Date,Open,High,Low,Close,Volume,Adj Close
2016-08-23,23.57,23.950001,23.57,23.870001,24200,23.870001
2016-08-22,23.620001,23.74,23.50,23.60,276000,23.60
2016-08-19,23.73,23.799999,23.379999,23.719999,204800,23.719999
2016-08-18,23.540001,23.879999,23.540001,23.74,38600,23.74
2016-08-17,23.74,23.75,23.52,23.629999,56000,23.629999
2016-08-16,23.879999,24.09,23.58,23.77,69300,23.77
2016-08-15,23.809999,24.09,23.67,23.90,79100,23.90
2016-08-12,23.32,23.799999,23.32,23.75,93900,23.75
2016-08-11,23.49,23.709999,23.360001,23.450001,82000,23.400001
2016-08-10,23.65,23.940001,23.299999,23.40,42700,23.350107
2016-08-09,23.99,24.040001,23.540001,23.549999,65500,23.499786
2016-08-08,23.67,24.120001,23.65,23.969999,106100,23.918891
2016-08-05,23.459999,23.77,23.459999,23.700001,48200,23.649468
2016-08-04,23.51,23.540001,23.23,23.32,49500,23.270277
2016-08-03,23.370001,23.60,23.280001,23.540001,89000,23.489809
2016-08-02,23.639999,23.75,23.32,23.370001,58400,23.320172
2016-08-01,24.43,24.43,23.549999,23.66,145200,23.609553
2016-07-29,24.42,24.67,24.290001,24.309999,53700,24.258166
2016-07-28,24.290001,24.50,24.110001,24.48,150100,24.427804
2016-07-27,24.18,24.530001,24.110001,24.360001,63700,24.308061
2016-07-26,24.709999,24.870001,24.50,24.67,66000,24.617399
2016-07-25,24.780001,24.780001,24.530001,24.67,33200,24.617399
2016-07-22,24.469999,24.969999,24.450001,24.889999,52000,24.836929
2016-07-21,24.08,24.48,24.08,24.43,165200,24.377911
2016-07-20,24.18,24.32,24.08,24.190001,36600,24.138423
2016-07-19,24.40,24.440001,24.040001,24.15,85100,24.098508
2016-07-18,24.41,24.58,24.190001,24.370001,47600,24.31804
2016-07-15,24.440001,24.48,24.139999,24.32,94600,24.268145
2016-07-14,24.60,24.700001,24.25,24.32,56300,24.268145
2016-07-13,24.200001,24.610001,23.809999,24.370001,100100,24.31804
2016-07-12,24.379999,24.379999,24.15,24.16,54300,24.108486
2016-07-11,24.17,24.34,24.129999,24.26,59700,24.208274
2016-07-08,23.780001,24.17,23.639999,24.049999,104700,23.99872
2016-07-07,23.459999,23.700001,23.290001,23.66,162400,23.609553
2016-07-06,22.959999,23.52,22.959999,23.469999,59100,23.419957
2016-07-05,23.139999,23.16,22.950001,23.030001,92300,22.980897
2016-07-01,23.629999,23.629999,23.120001,23.280001,51300,23.230364
2016-06-30,22.84,23.709999,22.77,23.68,117300,23.62951
2016-06-29,22.51,22.860001,22.51,22.809999,62700,22.761365
2016-06-28,22.190001,22.450001,22.040001,22.27,79900,22.222517
2016-06-27,22.34,22.389999,21.969999,22.01,102700,21.963071
2016-06-24,22.17,22.65,22.110001,22.620001,447400,22.571771
2016-06-23,22.65,22.90,22.629999,22.85,53600,22.80128
2016-06-22,22.780001,22.780001,22.370001,22.530001,69700,22.481963
2016-06-21,22.77,22.84,22.40,22.700001,89200,22.6516
2016-06-20,22.530001,22.780001,22.48,22.48,40000,22.432068
2016-06-17,22.790001,22.799999,22.299999,22.370001,200600,22.322304
2016-06-16,22.690001,22.90,22.41,22.82,63300,22.771343
2016-06-15,22.67,22.959999,22.65,22.719999,57900,22.671556
2016-06-14,22.620001,22.91,22.58,22.65,58800,22.601706
2016-06-13,23.00,23.059999,22.57,22.68,49400,22.631643
2016-06-10,23.26,23.389999,22.950001,23.049999,43300,23.000853
2016-06-09,23.379999,23.450001,23.17,23.299999,42500,23.25032
2016-06-08,23.40,23.540001,23.26,23.40,33800,23.350107
2016-06-07,23.51,23.549999,23.27,23.389999,25700,23.340128
2016-06-06,23.35,23.58,23.219999,23.459999,36800,23.409978
2016-06-03,23.639999,23.73,23.35,23.40,32200,23.350107
2016-06-02,23.76,23.879999,23.67,23.790001,62900,23.739276
2016-06-01,23.40,23.67,23.32,23.65,61800,23.599574
2016-05-31,23.309999,23.74,23.18,23.540001,82600,23.489809
2016-05-27,22.85,23.32,22.85,23.209999,290500,23.160511
2016-05-26,23.059999,23.110001,22.860001,22.90,59800,22.851173
2016-05-25,23.23,23.389999,22.959999,22.99,59500,22.940981
2016-05-24,23.129999,23.379999,22.68,23.25,306800,23.200427
2016-05-23,23.290001,23.34,22.959999,23.00,65900,22.95096
2016-05-20,23.17,23.57,23.08,23.35,47200,23.300214
2016-05-19,23.25,23.25,22.83,23.110001,67700,23.060726
